x	y	z
1.309999999999999964e+01	-6.770000000000000284e+01	6.909999999999999432e+01
3.550000000000000000e+01	-6.000000000000000000e+01	6.600000000000000000e+01
4.829999999999999716e+01	-5.510000000000000142e+01	5.820000000000000284e+01
6.000000000000000000e+01	-5.179999999999999716e+01	4.800000000000000000e+01
1.689999999999999858e+01	-5.160000000000000142e+01	7.800000000000000000e+01
3.479999999999999716e+01	-4.929999999999999716e+01	7.170000000000000284e+01
6.750000000000000000e+01	-4.710000000000000142e+01	3.100000000000000000e+01
4.610000000000000142e+01	-4.370000000000000284e+01	6.110000000000000142e+01
5.979999999999999716e+01	-3.960000000000000142e+01	5.329999999999999716e+01
1.419999999999999929e+01	-3.910000000000000142e+01	8.109999999999999432e+01
2.830000000000000071e+01	-3.119999999999999929e+01	7.600000000000000000e+01
4.229999999999999716e+01	-3.069999999999999929e+01	7.020000000000000284e+01
6.759999999999999432e+01	-3.010000000000000142e+01	4.120000000000000284e+01
5.050000000000000000e+01	-2.439999999999999858e+01	6.440000000000000568e+01
1.459999999999999964e+01	-2.269999999999999929e+01	8.020000000000000284e+01
6.089999999999999858e+01	-1.869999999999999929e+01	5.089999999999999858e+01
3.160000000000000142e+01	-1.689999999999999858e+01	7.520000000000000284e+01
5.099999999999999645e+00	-1.259999999999999964e+01	7.729999999999999716e+01
6.559999999999999432e+01	-1.080000000000000071e+01	3.779999999999999716e+01
4.179999999999999716e+01	-1.019999999999999929e+01	6.700000000000000000e+01
5.510000000000000142e+01	-4.009999999999999787e+00	5.320000000000000284e+01
2.269999999999999929e+01	1.199999999999999956e+00	7.200000000000000000e+01
5.799999999999999822e+00	2.799999999999999822e+00	7.479999999999999716e+01
4.920000000000000284e+01	3.700000000000000178e+00	5.470000000000000284e+01
3.450000000000000000e+01	3.899999999999999911e+00	6.650000000000000000e+01
6.154999999999999716e+01	6.200000000000000178e+00	3.589999999999999858e+01
6.360000000000000142e+01	8.300000000000000711e+00	2.569999999999999929e+01
4.039999999999999858e+01	1.180000000000000071e+01	6.070000000000000284e+01
4.870000000000000284e+01	1.450000000000000000e+01	5.050000000000000000e+01
2.180000000000000071e+01	1.600000000000000000e+01	6.890000000000000568e+01
5.820000000000000284e+01	1.819999999999999929e+01	2.730000000000000071e+01
7.000000000000000000e+00	1.839999999999999858e+01	7.029999999999999716e+01
3.629999999999999716e+01	1.989999999999999858e+01	5.960000000000000142e+01
4.810000000000000142e+01	2.460000000000000142e+01	4.400000000000000000e+01
5.679999999999999716e+01	2.851999999999999957e+01	2.080000000000000071e+01
7.299999999999999822e+00	3.379999999999999716e+01	6.170000000000000284e+01
2.219999999999999929e+01	3.500000000000000000e+01	5.720000000000000284e+01
3.679999999999999716e+01	3.539999999999999858e+01	4.700000000000000000e+01
4.679999999999999716e+01	3.560000000000000142e+01	3.600000000000000000e+01
